season,week_num,week_idx,rule_type,couple_id,couple_label,pF_share,fan_rank,eliminated_this_week
9,1,1,percent,0,couple_0,0.01056304108351469,16.0,1
9,1,1,percent,1,couple_1,0.07976891845464706,3.0,0
9,1,1,percent,2,couple_2,0.07243417203426361,6.0,0
9,1,1,percent,3,couple_3,0.06024905666708946,9.0,0
9,1,1,percent,4,couple_4,0.07604918628931046,4.0,0
9,1,1,percent,5,couple_5,0.06396766752004623,8.0,0
9,1,1,percent,6,couple_6,0.06984274089336395,7.0,0
9,1,1,percent,7,couple_7,0.09369540214538574,2.0,0
9,1,1,percent,8,couple_8,0.050345487892627716,14.0,0
9,1,1,percent,9,couple_9,0.0725407674908638,5.0,0
9,1,1,percent,10,couple_10,0.10093933343887329,1.0,0
9,1,1,percent,11,couple_11,0.016970815137028694,15.0,1
9,1,1,percent,12,couple_12,0.05460284650325775,13.0,0
9,1,1,percent,13,couple_13,0.059023670852184296,12.0,0
9,1,1,percent,14,couple_14,0.05935954302549362,11.0,0
9,1,1,percent,15,couple_15,0.05964737758040428,10.0,0
9,2,2,percent,1,couple_1,0.06043347716331482,12.0,0
9,2,2,percent,2,couple_2,0.09170442819595337,3.0,0
9,2,2,percent,3,couple_3,0.07197370380163193,7.0,0
9,2,2,percent,4,couple_4,0.08347129821777344,5.0,0
9,2,2,percent,5,couple_5,0.06525212526321411,9.0,0
9,2,2,percent,6,couple_6,0.07899343222379684,6.0,0
9,2,2,percent,7,couple_7,0.0920005664229393,2.0,0
9,2,2,percent,8,couple_8,0.06282663345336914,10.0,0
9,2,2,percent,9,couple_9,0.016506075859069824,14.0,1
9,2,2,percent,10,couple_10,0.10689185559749603,1.0,0
9,2,2,percent,12,couple_12,0.05337582156062126,13.0,0
9,2,2,percent,13,couple_13,0.0623684898018837,11.0,0
9,2,2,percent,14,couple_14,0.06640291213989258,8.0,0
9,2,2,percent,15,couple_15,0.08779919147491455,4.0,0
9,3,3,percent,1,couple_1,0.017319047823548317,13.0,1
9,3,3,percent,2,couple_2,0.0824679583311081,6.0,0
9,3,3,percent,3,couple_3,0.08339300751686096,5.0,0
9,3,3,percent,4,couple_4,0.0823558121919632,7.0,0
9,3,3,percent,5,couple_5,0.05755021423101425,11.0,0
9,3,3,percent,6,couple_6,0.08470125496387482,4.0,0
9,3,3,percent,7,couple_7,0.1052737906575203,2.0,0
9,3,3,percent,8,couple_8,0.06865067034959793,9.0,0
9,3,3,percent,10,couple_10,0.12505745887756348,1.0,0
9,3,3,percent,12,couple_12,0.06464269757270813,10.0,0
9,3,3,percent,13,couple_13,0.055069610476493835,12.0,0
9,3,3,percent,14,couple_14,0.07817515730857849,8.0,0
9,3,3,percent,15,couple_15,0.0953432247042656,3.0,0
9,4,4,percent,2,couple_2,0.06196514889597893,9.0,0
9,4,4,percent,3,couple_3,0.08369763195514679,6.0,0
9,4,4,percent,4,couple_4,0.02055995911359787,12.0,1
9,4,4,percent,5,couple_5,0.054044779390096664,11.0,0
9,4,4,percent,6,couple_6,0.09749642014503479,3.0,0
9,4,4,percent,7,couple_7,0.1127326712012291,2.0,0
