season,tau_fixed,lambda_E,tau_value,replay_one,replay_multi,ELBO_final,pF_max_mean,pF_H_mean,T_used,N_couples
2,2.0,5.0,2.0,1.0,0.9803571428571428,-80.17217254638672,0.41145612485706806,1.5488520860671997,8,10
17,2.0,5.0,2.0,0.8888888888888888,0.9791666666666666,-160.91502380371094,0.16757231070236725,2.01576152714816,11,12
19,2.0,5.0,2.0,0.9,0.97875,-170.5089569091797,0.16504873877221887,2.0292921391400425,11,13
3,2.0,5.0,2.0,1.0,0.9785714285714285,-133.83738708496094,0.251987765232722,1.8494113683700562,10,11
10,2.0,5.0,2.0,0.875,0.9765625,-123.86898040771484,0.19100149869918823,1.8690695285797119,10,11
16,2.0,5.0,2.0,1.0,0.9732142857142857,-116.2361068725586,0.24687992367479536,2.1262756718529596,10,12
13,2.0,5.0,2.0,1.0,0.9722222222222222,-150.67176818847656,0.19761039167642594,1.8756047368049622,10,12
5,2.0,5.0,2.0,0.8888888888888888,0.9722222222222222,-140.37698364257812,0.1982455939054489,1.8684169054031372,10,12
11,2.0,5.0,2.0,1.0,0.9708333333333333,-139.52684020996094,0.20011442601680757,1.8724904894828795,10,12
4,2.0,5.0,2.0,0.875,0.9703125,-127.46484375,0.19698223918676377,1.8698869943618774,10,11
24,2.0,5.0,2.0,0.875,0.9625,-144.78494262695312,0.18697861358523368,1.944023108482361,10,12
14,2.0,5.0,2.0,0.875,0.959375,-154.79612731933594,0.17797065302729606,1.9645112991333007,10,12
32,2.0,5.0,2.0,0.7777777777777778,0.9583333333333334,-156.0363311767578,0.370764897628264,1.7611135569485752,11,14
7,2.0,5.0,2.0,1.0,0.9578125,-140.98191833496094,0.28063956730895573,1.9865976439581976,10,13
20,2.0,5.0,2.0,0.875,0.9578125,-146.8931121826172,0.19086905419826508,1.9594282627105712,10,12
8,2.0,5.0,2.0,1.0,0.9555555555555556,-164.18077087402344,0.18653034486553885,1.9604841253974221,11,13
27,2.0,5.0,2.0,1.0,0.9553571428571429,-146.2256317138672,0.17292344404591453,2.0930014186435275,9,13
25,2.0,5.0,2.0,1.0,0.9546875,-170.7144775390625,0.16466319635510446,2.0652876257896424,10,13
21,2.0,5.0,2.0,1.0,0.9541666666666667,-150.2710418701172,0.22265404388308524,2.1626352190971376,11,13
12,2.0,5.0,2.0,0.875,0.953125,-137.30235290527344,0.20249593183398246,1.8624689698219299,10,11
23,2.0,5.0,2.0,1.0,0.9527777777777777,-183.16366577148438,0.16484715044498444,2.05399810184132,11,13
6,2.0,5.0,2.0,0.75,0.946875,-142.83807373046875,0.20021153539419173,1.878719401359558,10,12
1,2.0,5.0,2.0,0.6666666666666666,0.9458333333333333,-48.4334831237793,0.5049384435017904,1.2067135373751323,6,6
18,2.0,5.0,2.0,1.0,0.9375,-127.12114715576172,0.2525677995549308,2.0925616555743747,10,12
15,2.0,5.0,2.0,0.8571428571428571,0.9357142857142857,-168.6494903564453,0.17542921826243402,1.9823201298713684,10,13
22,2.0,5.0,2.0,0.8571428571428571,0.9303571428571429,-161.1109619140625,0.18459021002054216,2.0000354528427122,10,12
28,2.0,5.0,2.0,0.8571428571428571,0.9303571428571429,-111.40886688232422,0.4977662980556488,1.6198958873748779,11,12
9,2.0,5.0,2.0,0.7777777777777778,0.9263888888888889,-189.86827087402344,0.24490160743395487,2.154907888836331,10,16
29,2.0,5.0,2.0,1.0,0.9194444444444444,-211.6354217529297,0.20681022778153418,2.2385297298431395,11,15
33,2.0,5.0,2.0,0.6666666666666666,0.91875,-138.90631103515625,0.22783249451054466,1.96068717373742,9,13
34,2.0,5.0,2.0,1.0,0.9171875,-168.0679168701172,0.2606925788250836,2.045928640799089,11,14
31,2.0,5.0,2.0,0.7777777777777778,0.9097222222222222,-178.7248992919922,0.4018108430835936,1.8778117232852511,10,16
30,2.0,5.0,2.0,0.875,0.865625,-189.93069458007812,0.23617063984274864,2.1123926877975463,10,15
26,2.0,5.0,2.0,1.0,0.8458333333333333,-69.11698150634766,0.26664358004927635,1.6964440941810608,4,10
